,Round,Date,Home,xGH,xGA,Away,Attendance,GHome,GAway,Winner,Season
269,Regular Season,2018-08-11,Chicago Fire,0.9,0.9,NY Red Bulls,18064,0,1,NY Red Bulls,2018
270,Regular Season,2018-08-11,Colorado Rapids,1.4,2.1,San Jose,15383,2,1,Colorado Rapids,2018
271,Regular Season,2018-08-11,Real Salt Lake,1.6,1.2,Montreal Impact,18901,1,1,,2018
272,Regular Season,2018-08-11,Los Angeles FC,1.9,1.5,Sporting KC,22000,0,2,Sporting KC,2018
273,Regular Season,2018-08-11,LA Galaxy,1.4,1.6,Minnesota Utd,24891,2,2,,2018
274,Regular Season,2018-08-11,Portland Timbers,2.8,0.9,Vancouver,21144,1,2,Vancouver,2018
275,Regular Season,2018-08-12,Toronto FC,0.6,2.2,NYCFC,27935,2,3,NYCFC,2018
276,Regular Season,2018-08-12,D.C. United,1.9,0.9,Orlando City,17020,3,2,D.C. United,2018
277,Regular Season,2018-08-12,Seattle,1.1,1.2,FC Dallas,39522,2,1,Seattle,2018
278,Regular Season,2018-08-14,LA Galaxy,1.2,0.6,Colorado Rapids,16231,2,2,,2018
279,Regular Season,2018-08-15,D.C. United,1.9,0.9,Portland Timbers,18219,4,1,D.C. United,2018
280,Regular Season,2018-08-15,Los Angeles FC,1.6,0.3,Real Salt Lake,22000,2,0,Los Angeles FC,2018
281,Regular Season,2018-08-18,Seattle,2.8,1.2,LA Galaxy,44213,5,0,Seattle,2018
282,Regular Season,2018-08-18,Vancouver,0.8,2.5,NY Red Bulls,22120,2,2,,2018
283,Regular Season,2018-08-18,Philadelphia,1.1,0.9,NYCFC,17594,2,0,Philadelphia,2018
285,Regular Season,2018-08-18,Montreal Impact,1.4,0.9,Chicago Fire,18831,2,1,Montreal Impact,2018
286,Regular Season,2018-08-18,FC Dallas,1.1,0.2,Minnesota Utd,15107,2,0,FC Dallas,2018
287,Regular Season,2018-08-18,Sporting KC,2.4,0.2,Portland Timbers,19737,3,0,Sporting KC,2018
288,Regular Season,2018-08-18,Houston Dynamo,1.7,2.9,Real Salt Lake,15072,1,2,Real Salt Lake,2018
289,Regular Season,2018-08-18,San Jose,1.8,1.4,Toronto FC,17456,1,1,,2018
290,Regular Season,2018-08-19,Atlanta Utd,1.6,0.9,Columbus Crew,45303,3,1,Atlanta Utd,2018
291,Regular Season,2018-08-19,D.C. United,1.8,0.5,New England,20198,2,0,D.C. United,2018
292,Regular Season,2018-08-19,Los Angeles FC,1.4,0.6,Colorado Rapids,22000,2,0,Los Angeles FC,2018
293,Regular Season,2018-08-22,NYCFC,0.8,1.6,NY Red Bulls,30139,1,1,,2018
294,Regular Season,2018-08-23,Chicago Fire,2.0,0.5,Columbus Crew,8551,1,1,,2018
295,Regular Season,2018-08-23,Houston Dynamo,1.0,1.2,FC Dallas,16544,1,1,,2018
296,Regular Season,2018-08-24,Orlando City,0.3,3.2,Atlanta Utd,25058,1,2,Atlanta Utd,2018
297,Regular Season,2018-08-24,LA Galaxy,0.8,1.6,Los Angeles FC,27068,1,1,,2018
298,Regular Season,2018-08-25,Philadelphia,2.0,0.5,New England,18052,1,0,Philadelphia,2018
299,Regular Season,2018-08-25,Toronto FC,1.3,1.5,Montreal Impact,27294,3,1,Toronto FC,2018
300,Regular Season,2018-08-25,Sporting KC,0.6,1.3,Minnesota Utd,19345,2,0,Sporting KC,2018
301,Regular Season,2018-08-25,Colorado Rapids,0.2,2.7,Real Salt Lake,16669,0,6,Real Salt Lake,2018
302,Regular Season,2018-08-25,San Jose,1.5,2.3,Vancouver,16326,2,3,Vancouver,2018
303,Regular Season,2018-08-26,NY Red Bulls,1.3,1.5,D.C. United,22324,1,0,NY Red Bulls,2018
304,Regular Season,2018-08-26,Portland Timbers,0.5,0.5,Seattle,21144,0,1,Seattle,2018
305,Regular Season,2018-08-29,NY Red Bulls,2.4,1.0,Houston Dynamo,15042,1,0,NY Red Bulls,2018
306,Regular Season,2018-08-29,D.C. United,0.6,1.8,Philadelphia,17692,0,2,Philadelphia,2018
307,Regular Season,2018-08-29,Portland Timbers,2.2,0.7,Toronto FC,21144,2,0,Portland Timbers,2018
308,Regular Season,2018-08-29,San Jose,1.8,2.2,FC Dallas,15648,4,3,San Jose,2018
309,Regular Season,2018-09-01,Seattle,2.1,1.9,Sporting KC,39530,3,1,Seattle,2018
311,Regular Season,2018-09-01,New England,1.7,0.5,Portland Timbers,16040,1,1,,2018
312,Regular Season,2018-09-01,Orlando City,0.7,1.8,Philadelphia,22912,2,2,,2018
313,Regular Season,2018-09-01,Montreal Impact,2.6,0.3,NY Red Bulls,18458,3,0,Montreal Impact,2018
314,Regular Season,2018-09-01,FC Dallas,2.4,1.2,Houston Dynamo,16835,4,2,FC Dallas,2018
315,Regular Season,2018-09-01,Toronto FC,2.6,1.4,Los Angeles FC,28247,2,4,Los Angeles FC,2018
316,Regular Season,2018-09-01,Columbus Crew,2.3,0.7,NYCFC,11991,2,1,Columbus Crew,2018
317,Regular Season,2018-09-01,Vancouver,2.0,0.9,San Jose,22120,2,1,Vancouver,2018
318,Regular Season,2018-09-01,Real Salt Lake,3.0,0.7,LA Galaxy,21363,6,2,Real Salt Lake,2018
319,Regular Season,2018-09-02,D.C. United,1.4,2.5,Atlanta Utd,20557,3,1,D.C. United,2018
320,Regular Season,2018-09-05,NYCFC,2.3,1.4,New England,18884,0,1,New England,2018
321,Regular Season,2018-09-08,NYCFC,2.7,0.3,D.C. United,28239,1,1,,2018
322,Regular Season,2018-09-08,Sporting KC,1.3,1.2,Orlando City,19332,1,0,Sporting KC,2018
323,Regular Season,2018-09-08,Portland Timbers,2.3,0.7,Colorado Rapids,21144,2,0,Portland Timbers,2018
324,Regular Season,2018-09-12,D.C. United,1.7,1.4,Minnesota Utd,16114,2,1,D.C. United,2018
325,Regular Season,2018-09-15,Colorado Rapids,1.3,1.5,Atlanta Utd,14788,0,3,Atlanta Utd,2018
326,Regular Season,2018-09-15,Toronto FC,2.1,1.3,LA Galaxy,30799,5,3,Toronto FC,2018
327,Regular Season,2018-09-15,Philadelphia,0.4,2.9,Montreal Impact,18024,1,4,Montreal Impact,2018
328,Regular Season,2018-09-15,FC Dallas,0.3,0.9,Columbus Crew,16030,0,0,,2018
329,Regular Season,2018-09-15,Houston Dynamo,2.4,1.3,Portland Timbers,15256,4,1,Houston Dynamo,2018
330,Regular Season,2018-09-15,Real Salt Lake,0.6,1.2,Minnesota Utd,19785,1,1,,2018
331,Regular Season,2018-09-15,Vancouver,2.6,1.9,Seattle,27863,1,2,Seattle,2018
332,Regular Season,2018-09-15,San Jose,1.2,2.7,Sporting KC,16682,1,5,Sporting KC,2018
333,Regular Season,2018-09-15,Los Angeles FC,1.8,1.5,New England,22000,1,1,,2018
334,Regular Season,2018-09-16,D.C. United,1.5,1.4,NY Red Bulls,18331,3,3,,2018
335,Regular Season,2018-09-16,Chicago Fire,3.0,1.2,Orlando City,16287,4,0,Chicago Fire,2018
337,Regular Season,2018-09-19,Portland Timbers,0.8,1.7,Columbus Crew,21144,3,2,Portland Timbers,2018
338,Regular Season,2018-09-19,Seattle,1.7,0.8,Philadelphia,39536,0,1,Philadelphia,2018
339,Regular Season,2018-09-19,San Jose,1.4,2.4,Atlanta Utd,15948,3,4,Atlanta Utd,2018
340,Regular Season,2018-09-22,Los Angeles FC,1.7,0.2,San Jose,22000,2,0,Los Angeles FC,2018
341,Regular Season,2018-09-22,NY Red Bulls,0.9,1.1,Toronto FC,20731,2,0,NY Red Bulls,2018
342,Regular Season,2018-09-22,Atlanta Utd,1.7,0.4,Real Salt Lake,72017,2,0,Atlanta Utd,2018
343,Regular Season,2018-09-22,Columbus Crew,2.8,0.1,Colorado Rapids,19121,2,1,Columbus Crew,2018
344,Regular Season,2018-09-22,Orlando City,1.3,0.9,Houston Dynamo,23723,0,0,,2018
345,Regular Season,2018-09-22,New England,2.0,0.5,Chicago Fire,24388,2,2,,2018
346,Regular Season,2018-09-22,Montreal Impact,1.3,0.3,NYCFC,20801,1,1,,2018
347,Regular Season,2018-09-22,Minnesota Utd,2.9,1.3,Portland Timbers,24525,3,2,Minnesota Utd,2018
348,Regular Season,2018-09-23,Philadelphia,1.7,2.1,Sporting KC,15080,2,0,Philadelphia,2018
349,Regular Season,2018-09-23,LA Galaxy,2.3,1.0,Seattle,25503,3,0,LA Galaxy,2018
350,Regular Season,2018-09-23,Vancouver,0.7,2.2,FC Dallas,21190,1,2,FC Dallas,2018
351,Regular Season,2018-09-26,NYCFC,1.8,0.4,Chicago Fire,21582,2,0,NYCFC,2018
352,Regular Season,2018-09-29,Chicago Fire,1.4,1.4,Los Angeles FC,18471,3,1,Chicago Fire,2018
353,Regular Season,2018-09-29,Seattle,3.1,0.2,Colorado Rapids,40042,4,0,Seattle,2018
354,Regular Season,2018-09-29,D.C. United,1.6,1.5,Montreal Impact,20573,5,0,D.C. United,2018
355,Regular Season,2018-09-29,Columbus Crew,0.9,0.9,Philadelphia,12441,0,0,,2018
356,Regular Season,2018-09-29,Toronto FC,3.2,0.3,New England,24710,4,1,Toronto FC,2018
357,Regular Season,2018-09-29,Minnesota Utd,1.7,1.6,NYCFC,21926,2,1,Minnesota Utd,2018
358,Regular Season,2018-09-29,Houston Dynamo,1.7,1.0,San Jose,17136,3,2,Houston Dynamo,2018
359,Regular Season,2018-09-29,LA Galaxy,2.2,1.0,Vancouver,25659,3,0,LA Galaxy,2018
360,Regular Season,2018-09-29,Portland Timbers,0.6,0.5,FC Dallas,21144,0,0,,2018
361,Regular Season,2018-09-30,NY Red Bulls,2.8,1.6,Atlanta Utd,22057,2,0,NY Red Bulls,2018
363,Regular Season,2018-09-30,Sporting KC,2.3,0.8,Real Salt Lake,19844,1,1,,2018
364,Regular Season,2018-10-06,Montreal Impact,1.6,1.6,Columbus Crew,19015,3,0,Montreal Impact,2018
365,Regular Season,2018-10-06,Atlanta Utd,1.6,0.6,New England,45122,2,1,Atlanta Utd,2018
366,Regular Season,2018-10-06,Toronto FC,2.2,1.1,Vancouver,23886,1,2,Vancouver,2018
367,Regular Season,2018-10-06,Philadelphia,1.8,1.2,Minnesota Utd,16334,5,1,Philadelphia,2018
368,Regular Season,2018-10-06,FC Dallas,0.8,0.3,Orlando City,16519,2,0,FC Dallas,2018
369,Regular Season,2018-10-06,Sporting KC,1.7,1.5,LA Galaxy,20092,1,1,,2018
370,Regular Season,2018-10-06,Colorado Rapids,0.9,2.5,Los Angeles FC,15369,0,3,Los Angeles FC,2018
371,Regular Season,2018-10-06,Real Salt Lake,0.6,2.3,Portland Timbers,20034,1,4,Portland Timbers,2018
372,Regular Season,2018-10-06,San Jose,1.1,2.5,NY Red Bulls,17241,1,3,NY Red Bulls,2018
373,Regular Season,2018-10-07,D.C. United,2.7,0.8,Chicago Fire,20064,2,1,D.C. United,2018
374,Regular Season,2018-10-08,Seattle,1.4,1.1,Houston Dynamo,39518,4,1,Seattle,2018
375,Regular Season,2018-10-12,Los Angeles FC,2.4,1.0,Houston Dynamo,22000,4,2,Los Angeles FC,2018
376,Regular Season,2018-10-13,Minnesota Utd,1.0,1.3,Colorado Rapids,19733,0,2,Colorado Rapids,2018
377,Regular Season,2018-10-13,D.C. United,1.7,0.9,FC Dallas,19610,1,0,D.C. United,2018
378,Regular Season,2018-10-13,New England,1.8,0.5,Orlando City,19775,2,0,New England,2018
379,Regular Season,2018-10-17,D.C. United,1.0,0.7,Toronto FC,18562,1,0,D.C. United,2018
380,Regular Season,2018-10-17,Orlando City,0.8,1.1,Seattle,22344,1,2,Seattle,2018
381,Regular Season,2018-10-17,Vancouver,1.1,3.2,Sporting KC,18689,1,4,Sporting KC,2018
382,Regular Season,2018-10-18,Real Salt Lake,2.1,1.4,New England,19536,4,1,Real Salt Lake,2018
383,Regular Season,2018-10-21,Philadelphia,0.5,1.4,NY Red Bulls,18021,0,1,NY Red Bulls,2018
384,Regular Season,2018-10-21,Orlando City,2.4,0.5,Columbus Crew,23642,2,1,Orlando City,2018
385,Regular Season,2018-10-21,D.C. United,2.3,0.7,NYCFC,20249,3,1,D.C. United,2018
386,Regular Season,2018-10-21,Atlanta Utd,1.1,0.7,Chicago Fire,71812,2,1,Atlanta Utd,2018
387,Regular Season,2018-10-21,Montreal Impact,2.3,1.0,Toronto FC,19684,2,0,Montreal Impact,2018
389,Regular Season,2018-10-21,San Jose,1.6,0.8,Colorado Rapids,17474,0,0,,2018
390,Regular Season,2018-10-21,Portland Timbers,2.2,0.7,Real Salt Lake,21144,3,0,Portland Timbers,2018
391,Regular Season,2018-10-21,Los Angeles FC,1.7,1.2,Vancouver,22000,2,2,,2018
392,Regular Season,2018-10-21,Houston Dynamo,1.5,1.0,Seattle,19127,2,3,Seattle,2018
393,Regular Season,2018-10-21,FC Dallas,,,Sporting KC,19096,0,3,Sporting KC,2018
394,Regular Season,2018-10-21,Minnesota Utd,1.4,1.6,LA Galaxy,52242,1,3,LA Galaxy,2018
395,Regular Season,2018-10-28,Vancouver,1.3,1.4,Portland Timbers,25348,2,1,Vancouver,2018
396,Regular Season,2018-10-28,LA Galaxy,2.1,2.4,Houston Dynamo,27068,2,3,Houston Dynamo,2018
397,Regular Season,2018-10-28,Seattle,2.2,0.5,San Jose,42617,2,1,Seattle,2018
398,Regular Season,2018-10-28,Colorado Rapids,0.7,1.5,FC Dallas,15172,2,1,Colorado Rapids,2018
399,Regular Season,2018-10-28,Sporting KC,0.7,1.4,Los Angeles FC,20702,2,1,Sporting KC,2018
400,Regular Season,2018-10-28,Chicago Fire,0.6,1.2,D.C. United,19459,0,0,,2018
401,Regular Season,2018-10-28,New England,0.6,0.6,Montreal Impact,28832,1,0,New England,2018
402,Regular Season,2018-10-28,NYCFC,1.4,1.7,Philadelphia,26441,3,1,NYCFC,2018
403,Regular Season,2018-10-28,Columbus Crew,1.3,0.7,Minnesota Utd,17677,3,2,Columbus Crew,2018
404,Regular Season,2018-10-28,Toronto FC,1.0,2.2,Atlanta Utd,23895,4,1,Toronto FC,2018
405,Regular Season,2018-10-28,NY Red Bulls,2.0,0.7,Orlando City,20023,1,0,NY Red Bulls,2018
406,Knockout round,2018-10-31,NYCFC,1.6,1.4,Philadelphia,15153,3,1,NYCFC,2018
407,Knockout round,2018-10-31,FC Dallas,1.6,0.6,Portland Timbers,10297,1,2,Portland Timbers,2018
408,Knockout round,2018-11-01,D.C. United,1.2,1.9,Columbus Crew,20600,2,2,Columbus Crew,2018
409,Knockout round,2018-11-01,Los Angeles FC,1.6,0.2,Real Salt Lake,22000,2,3,Real Salt Lake,2018
410,Conference Semifinals,2018-11-04,Columbus Crew,0.7,0.6,NY Red Bulls,12892,1,0,Columbus Crew,2018
411,Conference Semifinals,2018-11-04,Portland Timbers,1.2,0.7,Seattle,21144,2,1,Portland Timbers,2018
412,Conference Semifinals,2018-11-04,NYCFC,0.9,1.7,Atlanta Utd,19198,0,1,Atlanta Utd,2018
413,Conference Semifinals,2018-11-04,Real Salt Lake,0.6,0.9,Sporting KC,14045,1,1,,2018
415,Conference Semifinals,2018-11-08,Seattle,2.6,0.6,Portland Timbers,39542,3,2,Seattle,2018
416,Conference Semifinals,2018-11-11,Sporting KC,3.4,1.7,Real Salt Lake,19918,4,2,Sporting KC,2018
417,Conference Semifinals,2018-11-11,Atlanta Utd,2.0,0.7,NYCFC,70526,3,1,Atlanta Utd,2018
418,Conference Semifinals,2018-11-11,NY Red Bulls,1.2,1.0,Columbus Crew,22789,3,0,NY Red Bulls,2018
419,Conference Finals,2018-11-25,Atlanta Utd,1.4,0.4,NY Red Bulls,70016,3,0,Atlanta Utd,2018
420,Conference Finals,2018-11-25,Portland Timbers,0.7,1.1,Sporting KC,21144,0,0,,2018
421,Conference Finals,2018-11-29,NY Red Bulls,1.5,0.7,Atlanta Utd,22137,1,0,NY Red Bulls,2018
422,Conference Finals,2018-11-29,Sporting KC,2.0,1.0,Portland Timbers,20091,2,3,Portland Timbers,2018
423,MLS Cup 2018,2018-12-08,Atlanta Utd,1.5,0.6,Portland Timbers,73019,2,0,Atlanta Utd,2018
